id,occupation_ru,occupation_es,title_full_es,municipio,provincia,date,date_iso,sector,sector_es,url
032026006358,Повар в сельской гостинице в Альланде,Cocinero/a hotel rural en allande,Cocinero/a hotel rural en allande(ref.6358),Allande,Asturias,28/08/2026,2026-08-28,TH,Turismo y hostelería,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006358&ret=B
032026006616,Административный помощник,Auxiliar administrativo,Auxiliar administrativo (ref:6616),Aller,Asturias,11/09/2026,2026-09-11,AO,Administración y oficinas,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006616&ret=B
032026006345,Горничная,Camarero/a de pisos,Camarero/a de pisos (ref:6345),Aller,Asturias,28/08/2026,2026-08-28,TH,Turismo y hostelería,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006345&ret=B
032026006458,Помощник повара,Ayudante de cocina,Ayudante de cocina (ref: 6458),Aller,Asturias,02/09/2026,2026-09-02,TH,Turismo y hostelería,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006458&ret=B
032026004436,Сиделки по уходу за пожилыми,gerocultores/as,2 gerocultores/as(ref.4436).,Aller,Asturias,16/09/2026,2026-09-16,SA,Sanidad,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026004436&ret=B
032026006455,мясник,Charcutero/a carnicero/a,Charcutero/a carnicero/a (ref: 6455),Aller,Asturias,02/09/2026,2026-09-02,IA,Industrias alimentarias,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006455&ret=B
032026006451,Медсестра / медбрат,Enfermero/a,Enfermero/a (ref:6451),Amieva,Asturias,03/09/2026,2026-09-03,SA,Sanidad,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006451&ret=B
032026004959,Новое распределение двух должностей герокультуристов для одних и тех же,Nueva difusión 2 puestos gerocultor/a para sames,Nueva difusión 2 puestos gerocultor/a para sames (ref.4959),Amieva,Asturias,01/09/2026,2026-09-01,SA,Sanidad,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026004959&ret=B
032026006443,Официант,camarero/a,2 puestos de camarero/a (ref.6443),Amieva,Asturias,02/09/2026,2026-09-02,TH,Turismo y hostelería,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006443&ret=B
032026004530,1-й и 2-й официальные электрики,Electricistas oficial de 1ª y 2ª,Electricistas oficial de 1ª y 2ª ( ref. 4530 ),Aviles,Asturias,14/08/2026,2026-08-14,MO,Montaje e instalación,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026004530&ret=B
032026006682,,Ayudante de peluqueria,Ayudante de peluqueria (ref.6682),Aviles,Asturias,15/09/2026,2026-09-15,SP,Servicios a la comunidad y personales,https://www.sistemanacionalempleo.es/OfertaDifusionWEB/detalleOferta.do?modo=inicio&id=032026006682&ret=B
